Symbol,Trade number,Type,Date and time,Order ID,Signal,Price,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
VANTAGE:NAS100,132,Entry long,"Aug 24, 2026, 16:45",3442228004,3442228004,28984.83976190476,840,24347265.4,27816.8,0.11,0,,,,,211657.9,211.66,
VANTAGE:NAS100,133,Exit short,"Aug 25, 2026, 15:17",3446784751,3446784751,29348.45,560,16398224,-36908,-0.23,0,,,,,174749.9,174.75,
VANTAGE:NAS100,133,Entry short,"Aug 25, 2026, 14:08",3446784170,3446784170,29282.542857142857,560,16398224,-36908,-0.23,0,,,,,174749.9,174.75,
VANTAGE:NAS100,134,Exit short,"Aug 25, 2026, 15:42",3447120628,3447120628,29270.95,460,13488189,23552,0.17,0,,,,,198301.9,198.3,
VANTAGE:NAS100,134,Entry short,"Aug 25, 2026, 15:21",3447037516,3447037516,29322.15,460,13488189,23552,0.17,0,,,,,198301.9,198.3,
VANTAGE:NAS100,135,Exit long,"Aug 25, 2026, 16:50",3447612409,3447612409,29325.4,520,15226349,22859,0.15,0,,,,,221160.9,221.16,
VANTAGE:NAS100,135,Entry long,"Aug 25, 2026, 15:43",3447126168,3447126168,29281.440384615384,520,15226349,22859,0.15,0,,,,,221160.9,221.16,
VANTAGE:NAS100,136,Exit short,"Aug 25, 2026, 17:30",3447655916,3447655916,29155.45,540,15834336,90393,0.57,0,,,,,311553.9,311.55,
VANTAGE:NAS100,136,Entry short,"Aug 25, 2026, 16:52",3447638419,3447638419,29322.844444444443,540,15834336,90393,0.57,0,,,,,311553.9,311.55,
VANTAGE:NAS100,137,Exit short,"Aug 25, 2026, 17:40",3448118488,3448118488,29198.45,620,18104713,1674,0.01,0,,,,,313227.9,313.23,
VANTAGE:NAS100,137,Entry short,"Aug 25, 2026, 17:40",3448116552,3448116552,29201.15,620,18104713,1674,0.01,0,,,,,313227.9,313.23,
VANTAGE:NAS100,138,Exit long,"Aug 25, 2026, 18:02",3448137666,3448137666,29152.15,700,20415142.4,-8637.4,-0.04,0,,,,,304590.5,304.59,
VANTAGE:NAS100,138,Entry long,"Aug 25, 2026, 17:42",3448134680,3448134680,29164.48914285714,700,20415142.4,-8637.4,-0.04,0,,,,,304590.5,304.59,
VANTAGE:NAS100,139,Exit short,"Aug 25, 2026, 18:47",3448556457,3448556457,29183.95,740,21587861,-8262,-0.04,0,,,,,296328.5,296.33,
VANTAGE:NAS100,139,Entry short,"Aug 25, 2026, 18:12",3448337218,3448337218,29172.785135135135,740,21587861,-8262,-0.04,0,,,,,296328.5,296.33,
VANTAGE:NAS100,140,Exit long,"Aug 25, 2026, 19:03",3448567248,3448567248,29233.65,680,19838706,40176,0.2,0,,,,,336504.5,336.5,
VANTAGE:NAS100,140,Entry long,"Aug 25, 2026, 18:49",3448566602,3448566602,29174.567647058822,680,19838706,40176,0.2,0,,,,,336504.5,336.5,
VANTAGE:NAS100,141,Exit short,"Aug 25, 2026, 21:33",3448668817,3448668817,29181.7,740,21627286,32828,0.15,0,,,,,369332.5,369.33,
VANTAGE:NAS100,141,Entry short,"Aug 25, 2026, 19:06",3448666248,3448666248,29226.06216216216,740,21627286,32828,0.15,0,,,,,369332.5,369.33,
VANTAGE:NAS100,142,Exit short,"Aug 25, 2026, 21:43",3449330756,3449330756,29205.95,800,23356720,-8040,-0.03,0,,,,,361292.5,361.29,
VANTAGE:NAS100,142,Entry short,"Aug 25, 2026, 21:37",3449324483,3449324483,29195.9,800,23356720,-8040,-0.03,0,,,,,361292.5,361.29,
VANTAGE:NAS100,143,Exit short,"Aug 25, 2026, 22:20",3449355183,3449355183,29165.2,780,22788987,40131,0.18,0,,,,,401423.5,401.42,
VANTAGE:NAS100,143,Entry short,"Aug 25, 2026, 21:45",3449354596,3449354596,29216.65,780,22788987,40131,0.18,0,,,,,401423.5,401.42,
VANTAGE:NAS100,144,Exit short,"Aug 26, 2026, 15:29",3452047778,3452047778,29207.95,200,5842170,580,0.01,0,,,,,402003.5,402,
VANTAGE:NAS100,144,Entry short,"Aug 26, 2026, 14:31",3452011380,3452011380,29210.85,200,5842170,580,0.01,0,,,,,402003.5,402,
VANTAGE:NAS100,145,Exit long,"Aug 26, 2026, 15:54",3452392349,3452392349,29092.35,400,11644490,-7550,-0.06,0,,,,,394453.5,394.45,
VANTAGE:NAS100,145,Entry long,"Aug 26, 2026, 15:31",3452051646,3452051646,29111.225,400,11644490,-7550,-0.06,0,,,,,394453.5,394.45,
VANTAGE:NAS100,146,Exit long,"Aug 27, 2026, 01:01",3452400507,3452400507,29377.242727272725,1100,32031965,283002,0.88,0,,,,,677455.5,677.46,
VANTAGE:NAS100,146,Entry long,"Aug 26, 2026, 15:55",3452399750,3452399750,29119.96818181818,1100,32031965,283002,0.88,0,,,,,677455.5,677.46,
VANTAGE:NAS100,147,Exit short,"Aug 27, 2026, 02:49",3455197512,3455197512,29582.55,600,17738120,-11410,-0.06,0,,,,,666045.5,666.05,
VANTAGE:NAS100,147,Entry short,"Aug 27, 2026, 01:57",3455193050,3455193050,29563.533333333333,600,17738120,-11410,-0.06,0,,,,,666045.5,666.05,
VANTAGE:NAS100,148,Exit long,"Aug 27, 2026, 14:21",3457193747,3457193747,29544.75,700,20690290,-8965,-0.04,0,,,,,657080.5,657.08,
VANTAGE:NAS100,148,Entry long,"Aug 27, 2026, 14:08",3457182150,3457182150,29557.557142857142,700,20690290,-8965,-0.04,0,,,,,657080.5,657.08,
VANTAGE:NAS100,149,Exit long,"Aug 27, 2026, 14:29",3457235971,3457235971,29526.75,800,23636915,-15515,-0.07,0,,,,,641565.5,641.57,
VANTAGE:NAS100,149,Entry long,"Aug 27, 2026, 14:22",3457233756,3457233756,29546.14375,800,23636915,-15515,-0.07,0,,,,,641565.5,641.57,
VANTAGE:NAS100,150,Exit short,"Aug 27, 2026, 15:01",3457285570,3457285570,29507.51785714286,1400,41328250,17725,0.04,0,,,,,659290.5,659.29,
VANTAGE:NAS100,150,Entry short,"Aug 27, 2026, 14:35",3457277279,3457277279,29520.178571428572,1400,41328250,17725,0.04,0,,,,,659290.5,659.29,
VANTAGE:NAS100,151,Exit long,"Aug 27, 2026, 15:44",3457381724,3457381724,29498,1000,29514800,-16800,-0.06,0,,,,,642490.5,642.49,
VANTAGE:NAS100,151,Entry long,"Aug 27, 2026, 15:04",3457379646,3457379646,29514.8,1000,29514800,-16800,-0.06,0,,,,,642490.5,642.49,
VANTAGE:NAS100,152,Exit short,"Aug 27, 2026, 16:07",3457553168,3457553168,29514.3,1200,35387050,-30110,-0.09,0,,,,,612380.5,612.38,
VANTAGE:NAS100,152,Entry short,"Aug 27, 2026, 15:47",3457551844,3457551844,29489.208333333332,1200,35387050,-30110,-0.09,0,,,,,612380.5,612.38,
VANTAGE:NAS100,153,Exit long,"Aug 27, 2026, 16:30",3457645959,3457645959,29468.7,1200,35407885,-45445,-0.13,0,,,,,566935.5,566.94,
VANTAGE:NAS100,153,Entry long,"Aug 27, 2026, 16:08",3457642208,3457642208,29506.570833333335,1200,35407885,-45445,-0.13,0,,,,,566935.5,566.94,
VANTAGE:NAS100,154,Exit long,"Aug 27, 2026, 16:31",3457757964,3457757964,29506.75,1100,32466205,-8780,-0.03,0,,,,,558155.5,558.16,
VANTAGE:NAS100,154,Entry long,"Aug 27, 2026, 16:30",3457757019,3457757019,29514.73181818182,1100,32466205,-8780,-0.03,0,,,,,558155.5,558.16,
VANTAGE:NAS100,155,Exit long,"Aug 27, 2026, 16:34",3457791549,3457791549,29413.5,1100,32383879.999999996,-29030,-0.09,0,,,,,529125.5,529.13,
VANTAGE:NAS100,155,Entry long,"Aug 27, 2026, 16:32",3457784022,3457784022,29439.890909090907,1100,32383879.999999996,-29030,-0.09,0,,,,,529125.5,529.13,
VANTAGE:NAS100,156,Exit long,"Aug 27, 2026, 16:57",3457842061,3457842061,29415.25,1200,35313860,-15560,-0.04,0,,,,,513565.5,513.57,
VANTAGE:NAS100,156,Entry long,"Aug 27, 2026, 16:35",3457840182,3457840182,29428.216666666667,1200,35313860,-15560,-0.04,0,,,,,513565.5,513.57,
VANTAGE:NAS100,157,Exit long,"Aug 27, 2026, 18:23",3458129802,3458129802,29563,1200,35287310,188290,0.53,0,,,,,701855.5,701.86,
VANTAGE:NAS100,157,Entry long,"Aug 27, 2026, 16:58",3458128801,3458128801,29406.091666666667,1200,35287310,188290,0.53,0,,,,,701855.5,701.86,
VANTAGE:NAS100,158,Exit long,"Aug 27, 2026, 18:29",3458851100,3458851100,29533.75,1300,38413115,-19240,-0.05,0,,,,,682615.5,682.62,
VANTAGE:NAS100,158,Entry long,"Aug 27, 2026, 18:27",3458846502,3458846502,29548.55,1300,38413115,-19240,-0.05,0,,,,,682615.5,682.62,
VANTAGE:NAS100,159,Exit long,"Aug 27, 2026, 18:37",3458869458,3458869458,29513.25,1300,38384840,-17615,-0.05,0,,,,,665000.5,665,
VANTAGE:NAS100,159,Entry long,"Aug 27, 2026, 18:30",3458863912,3458863912,29526.8,1300,38384840,-17615,-0.05,0,,,,,665000.5,665,
VANTAGE:NAS100,160,Exit long,"Aug 27, 2026, 18:44",3458913596,3458913596,29491.5,1300,38374615,-35665,-0.09,0,,,,,629335.5,629.34,
VANTAGE:NAS100,160,Entry long,"Aug 27, 2026, 18:38",3458913249,3458913249,29518.934615384616,1300,38374615,-35665,-0.09,0,,,,,629335.5,629.34,
VANTAGE:NAS100,161,Exit long,"Aug 27, 2026, 19:09",3459059923,3459059923,29552,1300,38393665,23935,0.06,0,,,,,653270.5,653.27,
VANTAGE:NAS100,161,Entry long,"Aug 27, 2026, 18:46",3458967451,3458967451,29533.58846153846,1300,38393665,23935,0.06,0,,,,,653270.5,653.27,
VANTAGE:NAS100,162,Exit short,"Aug 27, 2026, 19:11",3459110089,3459110089,29562.6,1200,35460300,-14820,-0.04,0,,,,,638450.5,638.45,
VANTAGE:NAS100,162,Entry short,"Aug 27, 2026, 19:10",3459109288,3459109288,29550.25,1200,35460300,-14820,-0.04,0,,,,,638450.5,638.45,
VANTAGE:NAS100,163,Exit short,"Aug 27, 2026, 19:16",3459114217,3459114217,29557.55,1200,35472455,3395,0.01,0,,,,,641845.5,641.85,
VANTAGE:NAS100,163,Entry short,"Aug 27, 2026, 19:11",3459111866,3459111866,29560.379166666666,1200,35472455,3395,0.01,0,,,,,641845.5,641.85,
VANTAGE:NAS100,164,Exit short,"Aug 27, 2026, 19:28",3459145766,3459145766,29557.3,1200,35454600,-14160,-0.04,0,,,,,627685.5,627.69,
VANTAGE:NAS100,164,Entry short,"Aug 27, 2026, 19:17",3459144777,3459144777,29545.5,1200,35454600,-14160,-0.04,0,,,,,627685.5,627.69,
VANTAGE:NAS100,165,Exit long,"Aug 27, 2026, 20:05",3459198255,3459198255,29616.12,1300,38427290,73666,0.19,0,,,,,701351.5,701.35,
VANTAGE:NAS100,165,Entry long,"Aug 27, 2026, 19:28",3459197677,3459197677,29559.453846153847,1300,38427290,73666,0.19,0,,,,,701351.5,701.35,
VANTAGE:NAS100,166,Exit short,"Aug 27, 2026, 20:08",3459389769,3459389769,29621.92,1300,38496575,-11921,-0.03,0,,,,,689430.5,689.43,
VANTAGE:NAS100,166,Entry short,"Aug 27, 2026, 20:06",3459382451,3459382451,29612.75,1300,38496575,-11921,-0.03,0,,,,,689430.5,689.43,
VANTAGE:NAS100,167,Exit long,"Aug 27, 2026, 20:18",3459399140,3459399140,29620.75,1300,38501515,5460,0.01,0,,,,,694890.5,694.89,
VANTAGE:NAS100,167,Entry long,"Aug 27, 2026, 20:09",3459396670,3459396670,29616.55,1300,38501515,5460,0.01,0,,,,,694890.5,694.89,
VANTAGE:NAS100,168,Exit short,"Aug 27, 2026, 22:04",3459451273,3459451273,29541.05,1580,46779708,104849,0.22,0,,,,,799739.5,799.74,
VANTAGE:NAS100,168,Entry short,"Aug 27, 2026, 20:19",3459446060,3459446060,29607.41012658228,1580,46779708,104849,0.22,0,,,,,799739.5,799.74,
VANTAGE:NAS100,169,Exit short,"Aug 27, 2026, 22:32",3459917910,3459917910,29575.05,1500,44321625,-40950,-0.09,0,,,,,758789.5,758.79,
VANTAGE:NAS100,169,Entry short,"Aug 27, 2026, 22:07",3459912272,3459912272,29547.75,1500,44321625,-40950,-0.09,0,,,,,758789.5,758.79,
VANTAGE:NAS100,170,Exit short,"Aug 27, 2026, 22:54",3460013750,3460013750,29635.3,1400,41416750,-72670,-0.18,0,,,,,686119.5,686.12,
VANTAGE:NAS100,170,Entry short,"Aug 27, 2026, 22:35",3460012303,3460012303,29583.39285714286,1400,41416750,-72670,-0.18,0,,,,,686119.5,686.12,
VANTAGE:NAS100,171,Exit short,"Aug 27, 2026, 23:57",3460095815,3460095815,29591.492028985507,1380,40922761,86502,0.21,0,,,,,772621.5,772.62,
VANTAGE:NAS100,171,Entry short,"Aug 27, 2026, 22:59",3460091862,3460091862,29654.17463768116,1380,40922761,86502,0.21,0,,,,,772621.5,772.62,
VANTAGE:NAS100,172,Exit short,"Aug 28, 2026, 03:02",3460224356,3460224356,29580.3,1500,44382430,11980,0.03,0,,,,,784601.5,784.6,
